__quarterly__,GDPC,TB3M,CPI
,Real Gross Domestic Product,"3-Month Treasury Bill Secondary Market Rate, Discount Basis",Consumer Price Index for All Urban Consumers: All Items Less Energy in U.S. City Average
2010-Q1,15456.059,0.106666667,219.7896667
2010-Q2,15605.628,0.146666667,220.114
2010-Q3,15726.282,0.156666667,220.6223333
2010-Q4,15807.995,0.136666667,221.302
2011-Q1,15769.911,0.126666667,222.618
2011-Q2,15876.839,0.046666667,223.9713333
2011-Q3,15870.684,0.023333333,225.6846667
2011-Q4,16048.702,0.013333333,226.9443333
2012-Q1,16179.968,0.066666667,228.122
2012-Q2,16253.726,0.086666667,229.221
2012-Q3,16282.151,0.103333333,230.2253333
2012-Q4,16300.035,0.086666667,231.298
2013-Q1,16441.485,0.086666667,232.4103333
2013-Q2,16464.402,0.05,232.9526667
2013-Q3,16594.743,0.033333333,234.108
2013-Q4,16712.76,0.063333333,235.0736667
2014-Q1,16654.247,0.046666667,236.07
2014-Q2,16868.109,0.033333333,237.504
2014-Q3,17064.616,0.026666667,238.598
2014-Q4,17141.235,0.023333333,239.6516667
2015-Q1,17280.647,0.026666667,240.4723333
2015-Q2,17380.875,0.02,241.7233333
2015-Q3,17437.08,0.04,242.951
2015-Q4,17462.579,0.123333333,244.1443333
2016-Q1,17565.465,0.286666667,245.2016667
2016-Q2,17618.581,0.256666667,246.515
2016-Q3,17724.489,0.296666667,247.5796667
2016-Q4,17812.56,0.43,248.5616667
2017-Q1,17889.094,0.59,249.7923333
2017-Q2,17979.218,0.89,250.519
2017-Q3,18127.994,1.036666667,251.4536667
2017-Q4,18310.3,1.206666667,252.809
2018-Q1,18437.127,1.56,254.519
2018-Q2,18565.697,1.84,255.7426667
2018-Q3,18699.748,2.04,256.676
2018-Q4,18733.741,2.316666667,258.0926667
2019-Q1,18835.411,2.386666667,259.7943333
2019-Q2,18962.175,2.3,260.965
2019-Q3,19130.932,1.98,262.3606667
2019-Q4,19215.691,1.576666667,263.9126667
2020-Q1,18989.877,1.11,265.5273333
2020-Q2,17378.712,0.143333333,265.3773333
2020-Q3,18743.72,0.113333333,267.6016667
2020-Q4,18924.262,0.093333333,269.1033333
2021-Q1,19216.224,0.05,270.2493333
2021-Q2,19544.248,0.026666667,274.6746667
2021-Q3,19672.594,0.046666667,278.373
2021-Q4,20006.181,0.053333333,282.997
2022-Q1,19924.088,0.306666667,287.9666667
2022-Q2,19895.271,1.076666667,292.7713333
2022-Q3,20054.663,2.663333333,297.8086667
2022-Q4,20187.495,4.04,301.8726667
